,0
910,Ashneer is so soothing to emerging entrepreneur ears
911,When you achieve a lot in life then you get freedom to be blunt with people.
912,"Ashneer Grover: Very Specific Person, Straight Forward. 
He is not Like an Actor, ""ki parde ke piche I'm that kind of person, & when u see in real 'inki life toh bahot hi different hai'.
I'm same everywhere, & that's me!"
913,First time i watched a 1.5 hrs of podcast 
914,That painting just shows his class 
915,I don't like him and I don't hate him but I always follow him 
916,He is Awesome 
917,Great conversation
918,Honest entrepreneur ever
919,"Good conversations. Should have also asked about Crypto, NFTs thoughts on publicly listed startups,thoughts on long term stock investing etc"
920,What a Guy 
921,Raj sir pls enable english subtitle. So every one can understand it clearly
922,"1. Habit forming things make a good business.
2. It is difficult to make consumer side business in India due to demanding customers.
3. Profit is more in goods with big ticket size (large order).
4. Internet business are mostly convience based. 
5. Easy to build digital business in India due to low delivery cost.
6. D2C business mainly rely on their brand. Their product placement is digital. To make d2c a *business*, customer has to purchase your goods offline. Online retail is only for brand building.
7. Fintech business is built on trust.
8. Fundamentals budding entrepreneurs should focus on- pick a market size that is big, how your product is different, eventually your idea should generate profits from customers
9. Ashneer invests in business that form a natural monopoly like fast tag for parking or where there is low cost of delivery and founder should  be dumdaar.
10. People who think about next decade actually make good business. EVs will be one of the biggest segment."
923,when i see Ashneer -- Money just multiples your actual personality(there is very thin line between being Blunt and abusing)
924,Thankyou for this
925,Legendary conversation!
926,Respect 
927,Entrepreneur's becoming celebrities now this is best thing which is happening after a long time  
928,Most of the Indian people didn't like Ashneer grover because of his behaviour against enternpenuar but he is straight forward person and had given best suggestion to new startup owners.
929,Best podcast I have ever seen.
930,For long time I though only those people succed who use English more but you are an example as its inner strenth matters the most. I love Hindi and It was a great show.
931,"Not into podcasts, but this has to be the top one I have ever listened to"
932,Waiting for this episode thanks bro
933,ASHNEERGROVER is Awesome guy ..... Love and Respect to him ..
934,1:08:00 great lesson
935,Amazing podcast
936,IITian can do anything 
937,"enjoying this conversation while having dinner!  good
one"
938,Amazing podcast
939,A great podcast I have heard
940,Best interview Ever 
941,"Tbh, such an engaging conversation!!! Very Smart "
942,Bro we need podcast with peyush and aman also
943,Could we please have one episode with all the sharks individually?
944,Great podcast
945,"I wish this video had subtitles, you're catering to non hindi speaking people's also, hoping you'll add subs"
946,I have never been waiting for any episode as much i have been waiting for this one when i saw him in ur insta stories
947,I loved ittt
948,Bro my brother love to see your video and this my first video which I am watching of your and I loved it.️
949,I love it️
950,Postpe should also work on QR codes other than Bharat Pe that would be truly solving the problem.
951,broo this is the best podcast I've ever seen
952,Great interview 
953,Completely different from other founders. Now I like him more than Kunal Shah.
954,I really enjoyed the conversation ️
955,"2 se 8 min tak jo cool factor wala baat tha , that should reach to all children who inspire ashneer or who wants good life . Drinking or not drinking It shouldn’t make ur life , without drinking u can be cool enough ."
956,I have seen this in Paritosh's Story before even this came out. Paritosh is the guy behind all these podcasts and all.
957,Legendary!
958,"By this time if BharathPe ka IPO hotha, brand value 2X hotha "
959,This is first podcast I have watched whole..
960,9:04 This expression change of ashneer can kill people 
961,Excellent podcast 
962,I have not seen your complete video but I would like to say hear and want to pass on the message to Ashneer that I listen to his audio conversation with Kotak personnel and it is normal according to Delhi standard. Secondly why nowhere is questioning the failure and inefficiency of Kotak Bank? The co-founder and CEO of Bharat Pe have taken advantage of the current situation which is wrong on their part. If they want to get rid off of Ashneer they could have done it ethically rather than resort to the wrong way.
963,Great podcast.
964,We love u ashneer  u r 
965,It's a delight to listen to Ashneer. Thanks Raj for bringing him up and giving your followers lots of straightforward advices.
966,Iss bnde ki agal hi fan following h yr.. only shark to have dedicated fan pages on insta and youtube... Agal hi level ka content de diya h bnde ne.. plus the insight he gave about Market is unparallel..
967,Kitna Awesome hai yaar Ashneer 
968,"Great work raj
Go for piyush please "
969,36:22 the confidence he has!
970,"Ashneer, me sare episode aur e interview dekhkar itna samaj gata aap HINDI proudly bolte ho ️"
971,"{ Ashneer(Tiger-Shark) Brutally honest, Peyush(Whale) Generous, Anupam(Turtle) Etiquette & Polite, Namita(Goldfish) Cute & Kind, Vineeta(Pirhana) Sharp, Ghazal(Octopus) Survivalist, Aman(Dolphin) Intelligent & Cool.️} TANK"
972,Ashneer made shark tank look genuine
973,Great conversation...
974,I ️ this SHARK 
975,"I learned art of saying ""No"", now I can say my manager a big Noooooo"
976,what a great interview ...
977,very nice conversation 
978,sometime i feel ashneer is trying to clean up his imagine by going on some influencer platform As he had got a lot of criticism because i didn’t like him a lot on shar tank .
979,Gold ️
980,Ashneer sir jesa koi harich hi nhi hai 
981,1:07:27 Best part I learnt is 'Learn to Say No'
982,"Really It's no *Brainer*!! Isn't expected...

Very informative video.

Regards,
Mohit J."
983,great conversation
984,Good conversation thank you very good
985,bahut hi gripping podcast tha yee :)
986,"Now I understand why Ashneer sir speak like this. Before I Understood, sir give direct reply & directly breaking the heart of entrepreneur. 

When sir say, are ye tera business bakwas hai. Band kar aur mafi mang le garbalo se. Tab main soucta ta ki koi banda 10 saal spend kordiya is business ko banane ke liye. Kaise chur sakta hai. Today I have understand. 

One of the biggest task is to say No. Market language is Hindi. Be tuff yourself, mundi mat hilao..."
987,Ashneer is the answer to toxic positivity.
988,"He trolled him , in his own show.
I dont listen to any podcast, I havent read a single book.
"
989,"Ashneer is raw 
raw like a diamond"
990,"20:50 In simple words,  stay away from Capital Intensive Businesses."
991,56:30 when both complete each other 
992,"Bharatpe  CO- funder  ASHNEER Grover , you are great man sir."
993,"he looks like serious Jethalal 
Fav Shark"
994,My full sympathy to bharatpe employees 
995,Amazing Amazing Video 
996,"Just thinking how better father he will be.
Best is Hindi Dhande ki bhasa hai... "
997,Two minute silence for pitcher who rejected deal from Ashneer.
998,Whenever raj was speaking i kept forwarding the video just to listen and switch to ashneer speaking
999,I think noone had ever said this before but its not BharatPe vs Paytm nd all anymore but its BharatPe vs Cred rn
1000,This video is Ashneer for child to old... So much of learning
1001,"Yar bohat achi podcast thi. Bohat kuch seekha maine aur dobara bhi dekhun shayad.

Respect from Pakistan ️"
1002,"Hey bro, I really appreciate and enjoy your work and efforts. But at beginning of your intro, you seem to hook an audience in the wrong way. You had shown a glimpse of conversation (which is not true - it's a kind of manipulated and trimmed version. You had also mentioned it in the middle of the conversation). I think you are not able to target your actual audience because of the beginning of your intro. For instance, I would not have seen it completely if I would not have know Ashneer. I think people consume this kind of content to be positive and have positive insights, so listing to a slightly negative version(purposely created) does not hook your actual audience. I am aware that you just did it for kind of clickbait but it restricts you to reach the actual audience. This is what I think and I may be wrong."
1003,Million Dollar Podcast So Jitna Ho Ske. Life Me Implement Krna 
1004,Ashneer Should Write A book So much Practical knowlege
1005,Ashneer Grover is my favourite Shark 
1006,I have seen him polite for the very first time.
1007,"Bhartpe investors trying to remove Ashneer out of Bhartpe are the most foolish persons in the world, yeh banda chala gaya toh bhartpe is also gone........."
1008,English ko maro goli ab hindi hi chalega ab se me business ko “dandha” hi bolunga  this podcast is the best
1009,good podcast
1010,Listening to Ashneer is addictive
1011,True Man
1012,I was a hater of ashneer in the beginning but my opinion changed in just 3-4 episodes.
1013,Superb!!
1014,His own business makes 3% profit through investor money
1015,Love from Indore bro ️
1016,Thank you so much
1017,Raj Shamani to the moon 
1018,Ansheer  sir se jyada practical entrepreneur nahi hai 🇮🇳 india mein
1019,"""This is an image changing interview"" .. read the line again.."
1020,""" DHANDA "" is now an emotion"
1021,43.19 having conversation in hindi and still have better vocab than english speaking guy
1022,Love for ashneer
1023,"So, that's why he wants to invest in nyka stocks "
1024,Great too see ashneer
1025,Please add English subtitles .
1026,"Not to sound harsh but raj needs to work on his podcasting skills
More. He sometimes ends up asking tangential questions and flow of conversation is hampered. Good luck"
1027,"Ashneers another golden statement: Humne ""Business"" ki language ko English"" bana diya hai, par ""DHANDE"" ki language Hindi hai "
1028,Hope to see Peyush bansal...
1029,we want a podcast with aman aka boat founder
1030,"Nice, interesting, makes sense, repeat the sentence in English "
1031,Ashneer
1032,53:21 Ashneer bhai views on Anupam Mittal sir......!!!
1033,Its going to be most viewed interview on this channel so far .
1034,We want home tour of ashneer grover
1035,
1036,IMAGINE MBA CHAI WALA PITCHING IN SHARK TANK INDIA SEASON 2...
1037,Something new about ashneer!️
1038,Only one word for interview- Satik ️
1039,59:24 best part who thinks language is a barrier
1040,"Good podcast, but would prefer if the host speaks a bit less or shares less of his wisdom. We are here to listen to the guests."
1041,Best podcast
1042,My fav person 
1043,Please make a podcast with aman gupta
1044,What a guy he is ashneer
1045,Ashneer is a KING  of the RING
1046,It was mind changer for me!
1047,"12% club, is it trustable? It like feels unreal."
1048,honesty is the best policy!!!
1049,Ashneer  sir is my favourite shark..
1050,watched entire conversation. Ashneer is best. Bold. Honest. Not at all rude.
1051,"23:00 to 25:00
Boss needs some business classes"
1052,59:23 so true
1053,"True , I really love visiting market every evening with my retired father and mother they love it and they remain excited all day for the evening as they know that how busy their son is he will spend 1-2 hrs every evening with them and during that we would talk about different things , eat , shop and enjoy
Just one request to everybody out their that plz spend time with your parents doesn't matter how busy and big you are , bcoz you have multiple things to cop up with the hectic work schedule but they don't , they have a very simple life so plz give importance to that"
1054,Nice video..
1055,I love it
1056,Enlightening
1057,Lots of love from 🇺🇸
1058,"0:43
Ashneer: maine bhi bachpan se kabhi Piya nahi hai
This guy: haa hum to bachpan se nasedi hai"
1059,Entrepreneurs becoming celebrities is the next big thing.
1060,So much to learn from him.. Thanks Raj for this 
1061,Watched an hour long podcast after so long and it was epic 
1062,"Raj you can definitely improve.
Ashneer is pure abundance of knowledge .
Looking forward to hearing more of him."
1063,"If u r from business then u love him from the first episode boss 
Thanks for this podcast learn lots from this"
1064,"Uffff, this guy never disappoints. AG is the real OG"
1065,Seems very brutal and rude but he is really very straightforward and honest. He is not a sugar coated person and personally he is my personal favourite Shark in the show
1066,This podcast will break your channel. Ashneer's points are so so good! Super impressed.
1067,Wonderful conversation and Ashneer is awesome
1068,Great conversation.. btw ashneer is my favourite shark !!! Genuine and straightforward person. 
1069,"You are marvelous
Your parents must be proud of you
You have achieved alot and god bless you"
1070,"Everything Asheer says is pure Gold. On Point.
Favorite Shark."
1071,Very enlightening podcast 
1072,"Podcast of the decade
This guy is just epic"
1073,"Loved every bit of it...
Everyone should definitely watch it..."
1074,Great Learnings simplied. Thanks Raj & Ashneer.
1075,Such a genuine guy! Rare find
1076,Shark tank india is a revolution for Indian business industry this will indirectly help indian growth very much in the coming decades :)
1077,Loved the episode 
1078,So blunt. Like it. This man speaks his heart out.
1079,Taking money to bank account is a hell smart move. Shark tank made me a big fan of ashneer.
1080,Great conversation️ my favourite shark is also Asneer sir️love from bd
1081,I am so glad I spent an hour watching this !! Thank You !!
1082,"Ashneer sir is legendary
And the hindi thing he said is so true"
1083,"Thank You !!! for not pointing out Nykaa Kotak controversy for more views.
 Video is very informative and 1 hr 26 mins are worth to give"
1084,Pure hearted and diligent guy.....
1085,This guy has God level clarity in his thoughts
1086,One of the best prodcast !! 
1087,One can learn a lot from this guy Ashneer
1088,I can watch Asneer talk all day...
1089,"I wanna it 10x times 
Love it most genuine Talk ."
1090,"Ashneer was my fav shark since day 1
Thankyou for telling the game of saying NO"
1091,He is a real businessman 
1092,"Raj bhai, one of the best podcast till date..."
1093,Great conversation  Founder spell check
1094,Legendary talk 
1095,He is my favourite Shark despite of all the controversy 
1096,legendary podcast
1097,He is good at what he does
1098,Great podcast.  Love  Ashneer
1099,Your podcasts are best of all time
1100,"Best best best""! Honest podcast"
1101,This was so fun to watch!
1102,So much knowledge in this session
1103,I really like his honesty
1104,it was worth putting 1.26 hrs in this podcast.
1105,Aman and Ashneer were the soul of first season
1106,One of the best interview on the internet
1107,Pure honest man.
1108,Worth every second ️
1109,One of the best podcast
1110,"He talks the realistic things of life 
Still, gets the hate for being rude."
1111,"Shamani is focussed on finding that ""one thing"" in every question "
1112,Loved it...thank you very much....
1113,mind blowing good podcast
1114,Good and real raw content.
1115,"Wow ,he is so clear and honest ."
1116,Amezing conversation 
1117,Best podcast ever
1118,Great conversation!
1119,Wow wow wow & just woww  Ashneer is just lit 
1120,Ashneer sir is not a bad person he always wants to be straight forward
1121,"First time in my life I watched any 1+ hours video , I loved it."
1122,"Best personality 
#ashneer grover sir ️️"
1123,This man is Genuine.
1124,Loved it bhai! Maza aagya.. Watched till the end!
1125,"he is nice, not kind....
Which explains his behaviour
and I love it"
1126,Love this man
1127,I love Ashneer sir
1128,Loved it!
1129,Thank you for the episode.
1130,One day this person will become richest man of india or world
1131,Great conversation !
1132,He's a badass. ️
1133,Great discussion!!!! ashneer!!!!
1134,"Bro, how did you manage to bring him on the podcast ?"
1135,kadak episode. Lots of learnings
1136,Great podcast.
1137,"One of the best podcast i have llostened to..
Ashneer>>>"
1138,Value Added ️
1139,It's amazing 
1140,26:16 Great piece of knowledge
1141,Best knowledgeable love it
1142,Raj asked very interesting questions
1143,best ever podcast.. pura maza aa gya hai
1144,"Watched it in one go . Smooth ,subtle and susinked....."
1145,Having my Jack Daniels and enjoy this podcast!!️️️️
1146,Ashneer is proud of true savage uncles of Indian society 
1147,Beer biceps and you dominating in podcasts 
1148,Ashneer is so realistic and practical .. i mean he doesnot  makes any buble for the viewers
1149,Awesome
1150,22:19 raj's reaction uff
1151,"Finally, Ashner has changed his cloth. Anyways, he is the person, where respect, contrarily deserves him."
1152,The best podcast
1153,Ashneer grover ... You are a legend.. mannn... Ye 1:30 ghante ne bohot kuch sikha diya hai....
1154,I’m super confused with what I’m seeing here vs. what I’m reading about Ashneer’s alleged financial misappropriation in the news. Polar opposite
1155,Amazing editing:))
1156,DHANDA is the word!
1157,1:18:30 is why people love ashneer
1158,I am very honest to this ashneer
1159,podcast I needed the most
1160,D host is useless  but Ashneer was great... I just wish the host had asked some better questions..
1161,"Ashneer: Me padhaku hun
Ashneer after 20 min: Mene koi kitaab nahi padhi
Me: Ye sab doglapan hai "
1162,Pls interview Aman Gupta and Anupam Mittal
1163,"Is this shot at ashneer's house?
Painting in the background is awesome"
1164,Best decision u have made
1165,Don't stop reading after listening him..its great habit  just dont leave it.. ashneer aate jaate rahenge.
1166,Ashneer is my favourite....koi doglapan nahi hai...
1167,1 million views with in few days coming..
1168,1:01:08 not to be taken out of context
1169,Whole conversation was great 
1170,Bhai kasam kha kar bolna tum dare to honge interview ke time 
1171,"One's a Legend said ""YE SAB DOGLAPAN HAI"""
1172,It's not arrogance but profoundness coming with aggression
1173,19:43 ghum fir ke sbb baniyagiri hai  OP!!
1174,2nd podcast of figuring out watched fully after Kunal shah
1175,
1176,Finally Wait is over
1177,He still has the soft corner for Nykaa 
1178,"58:23 when Ashneer says ""logoko no bolne may dar lagta hay""
Taab jhat se Sandeep Maheshwari ka name  mind may aa gaya 

What an amazing person is he, even a sherk talking about him indirectly "
1179,"Now i understand this guy talk in only ""dhandhe ki language""."
1180,"Either conduct the interview in English or Hindi....
Very bad interviewer seriously....
Gajab dauglapan hai languages ka "
1181,"ये अच्छा पॉडकास्ट था। सभी पॉडकास्ट hinenglish मे होने पर समझ मे आते हैं। हम थेरे देसी ,इंग्लिश के मुस्किल dilog तो सर के ऊपर से जाते है।"
1182,Dude a podcast with aman on brand building
1183,1:00:40 
1184,Gautam Gambhir shark version
1185,Dhande ki language Hindi hai 
1186,Saw this at 27K views. I want to time travel in an year 
1187,Ashneer is little bit like Gautam Gambhir...
1188,
1189,"Expert Mr Willie.He is famous and registered broker I will recommend his trading services for you,his strategies is amazing and is working"
1190,Actually the real podcast
1191,"Raj Shamani
 dude! you don't have it in you bro. You are missing the energy."
1192,First time watching the interviewer not at all impressed. Felt like sadguru is interviewing spreading unworthy gyan
1193,"bhai yeh ek khud book hai, uska answer suno aur sach kehta hai.   I love the way he respond.   I am big fan now ashneer."
1194,Can we have subtitles please 
1195,"India mein Entrepreneura ko bhi celebrity ki tarah treat ki ja ra hai -- Dekh ke bohot khusi ho raha hai  
& India mein business ki language Hindi kab hoga?"
1196,Ashneer rocks
1197,"I will still sometime mark him as rude, but he is my distant mentor for sure, learned expensive lessons for free."
1198,Big fan sir.....bo jordar 
1199,People are commenting very informative video..Great video..In just 15 min of uploading video  atleast pura to dekho bhai 
1200,this was the poadcast i was eagerly waiting after your insta post!!!! loved it
1201,"I  you ashneer sir
Great work as always by you raj bhai"
1202,Ashneeeer is too good man
1203,What a podcasttt amazinngggg
1204,"Watched this with so much interest ,glad I didn’t waste my time on a movie."
1205,These people are real influences like ashneer anupam piyush and all the sharks
1206,liked the video without a second thought because of legendary guest.
1207,very impressed by Ashneer Grover fundas
1208,1:10:49 so true
1209,Ashneer Grover is a Bigger Patel then most patels... thats why hes so sucessfull.
1210,"This guy is the real life harvey specter, period."
1211,I am also like Ashneer bas difference itna hai k mere account me 1500 rupay hai. 
1212,I think I can relate to Ashneer a lot. Mere se sugar coating hoti hi nahi.
1213,"a good entrepreneur solves a problem,  a good Indian creates a problem."
1214,What's co-foudner ??
1215,Can you please make a video on profitable unicorn  in India..
1216,"I found some value in ashneer words. But Honest review. "" You must ask sgood questions. I feel you try to ask questions fro starters. What it won't work for someone starting. I wish you ask more about How that person think when they were in their 20's. """
1217,Mene suna hoo ki ashneer sir per episode 8lakh ₹ lete hai
1218,"He didn't started BharatPe but Shashvat Nakrani did and Ashneer joined as investor later became Co-founder of the company eventually was thrown out of the company was the board when the real stance of Ashneer came to the end of investigation.
As they say (The higher you fly, the harder you fall)."
1219,Make a video with Peyush Bansal too!!!
1220,Awesome!
1221,️️️ashneer bhai 
1222,"Business ki language English hai 
Dhandhe ki language hindi hai 
 
                                      -Ashneer grover"
1223,Great Podcast 
1224,I think india is making a better youth by  these type of enterprenour instead of tiktokers
1225,Bharat pe is not started only by Ashneer there is a IIT guy how made this payment gateway Ashneer only helps it to grow up and scale. Give proper information please
1226,"When he said , podcast ka button bhi nahi malum, look at raj's face"
1227,"@Raj Shamani, 55:40 even if they sugar-coated and you ""wasted"" 6 months, I am sure you learned a few things during those 6 months. Least is let's say, whom not to get feedback from. If you believed in that idea at that time and were willing to put some efforts and time in it, I'd say please don't consider it as wasted time -- regardless of what people had or will have to say. Cheers and all the best!"
1228,kunal shah should be on shark tank
1229,आज का ज्ञान :  घूम फिरके सब बनियागिरी है 
1230,best podcast
1231,Vijay is my name and now i am feeling proud bcoz ashneer looked up to a person whose name is vijay
1232,First time im watching YouTube interview without skip for 1:30 hours.
1233,!!!!huge respect. Can see how real he is.
1234,"When he said "" hindustan me koi bhi businesses chlao turnt FIR ho jati h """
1235,I think Raj isn't at that level yet to conduct a podcast with him. We could see him talk nonsense in the middle which is totally unnecessary.
1236,"best best interview. Itna clearly koi businessman nahi btaata, sab secret rakhte hai."
1237,realistic words..
1238,I think host can explode more from Ashneer.
1239,Super podcast
1240,Thnks for the video...leaned some lessons...accha btw who edits your video ?
1241,"Hey Raj 
The best thing you don't do that HMM HMMM HMMM sound like sodabiceps..."
1242,Nice podcast
1243,Ashneer is smart. He gave answer from his t shirt.
1244,"Mai ashneer sir ka boht bada fan hu 
Kabhi kabhi mujhe bhi aisa feel hota hai ki mera attitude ashneer jaisa ho gaya hai  love you sir"
1245,"How 12% club is making money? When it disburse the loan at 12% and at same time paying out interest at 12%.
Can Ashneer himself use his own platform to lend money at 12% to the merchants? I saw a lot of time he offers debt to entrepreneurs at 12% interest in shark tank?"
1246,"This is the big lie, people forget everything next day what they do or say after  drink."
1247,Gussa toh nhi hue ashneer 
1248,"Ashneer has an amazing clarity of what he does. But i would be scared to face him if at all i would be asked to !! national TV pe bejjati hojayegi yaar. However i feel we should reject softly, so that it should not hurt other person because not every one is same, when some one is setting up a business by putting all of his money and he has a huge passion attached to it, If any shark directly comes and say ye to bakwass hai, i think he will break into pieces."
1249,Is it just me who found that ‘Lady with a Car in a Palace’ painting in the background very fascinating and interesting?
1250,Ashneer tu mast banda hai yaar 
1251,Though i am not from India but still i watch these podcasts.
1252,He is my favourite
1253,Naah dude...the death stare Ashneer gave after that 9:04 smile...disturbed me 
1254,Educated person seldomly highlight the diversity of our language.
1255,"Usually I don't like to praise one by pulling other down, but I feel and mind it this is my first watch of this channel, the host was very good with the depth and comfort it brought to talk with the guest.on the other hand, Beer Biceps posdcasts seem quite superficial and the anchor trying to be some knowledge imparting baba. 
Also, I really liked the clarity and straightforwardness of Mr Grover, a true shark."
1256,Best episode
1257,Ashneer jaise honest aur straight forward bande should lead India and inspire..Abhi tak sirf drama/sugar coat karne waale logo ko hi Bhav milta tha and Ashneer jaise logo ko sideline karthe the kyunki wo unko drama aathi nahi
1258,21:19 timestamp for me
1259,Still he duped investors and he n his wife borderline stole money from Bharat pe...board chutiya ni hai ....vo nuksaan uhhane wale ni hai.️satya vachan
1260,The very first podcast that i have listened till the end
1261,"Ashneer, Piuysh,Anupam and Aman in this number are intelligent.Rest ladies were for glamour."
1262,Best 
1263,Very nice podcast
1264,Ashneer you are really cool .
1265,Kala naukar
1266,He is talking about honesty and integrity. Hypocrisy is that he has allegedly misappropriated funds in his own company.
1267,"57:50

That's the man"
1268,
1269,Ashneer should be brand ambassador of Sprite
1270,Most genuine shark
1271,Spelling theek karlo bhai founder*
1272,Ashneer need a lavelplaying interviewer. The interview seems to be one sided intellactual story telling.
1273,"I still can't believe that 
Anupam is 50 years old and 
Ashneer is 39 years old"
1274,Learning and interesting.. Talk
1275,My fav podcaster is chetan bhagat then Ranveer. They make stories more forefront of their conversation but you found little different but I don't know how
1276,Ashneer being Ashneer 19:43
1277,Ajj thera dhobla pan nikalta ku
1278,Very good conversation...ashneer.... Whatever u spoke meant sense ...
1279,Delhiwale jaroori hain sharktank ke lie. It's nothing without Ashneer and Aman. 
1280,Love from nepal ️
1281,Pity on startups who dint pick ashneer over others by having prefixed judgment on him... This man's mind is very sorted with respect to business.
1282,"@RajShamani- you must appoint some thinker to ask relevant questions before you go and meet guys like Ashneer. Padai karna padega Babu 

BharatPe is into giving loan? NBFC ? So they are giving loans to those who can’t get loan from bank - is this correct? What’s BharatPe’s equity book value ? What will it be 4-5 years from now ? Does Ashneer think he will be able to continue giving loans to anyone with QR code and with every year loss in his equity book ? Who will extend loan to BharatPe? Loan book becoming bigger every year but equity book of BharatPe is shrinking  these kind of business don’t exist on earth 

Visit this comment after 4 years and reply me if I’m wrong"
1283,Dogla
1284,"Soon our India will cross   🇨🇳 🇺🇸 
All youth  ... 
all the best ...
Jai shree ram"
1285,Ashneer is like an royal guy...
1286,Ashneer bada saaf aadmi hai bhai. Mazza aa gya guru ji
1287,"Raj shamani- be clear not clever 
Ashneer - I am CEO of this"
1288,Bhai..kiya banda hai!!
1289,"He is true Indian businessman
If you also relate me like here "
1290,"My two cousins Tejas and Shreyas  are 10 years old. They picth either day to our joint family to buy equity in thier company ( just 1 Crore for  1% of thier company ). Then when family member asks them meaning of equity, share or debt; they secretly call me to understand and answer back. It's the most revolutionary show, launched at very right time in India. Can't wait to pitch about my startup next season"
1291,"IC engines will not go anywhere, alternative fuels will come and also green hydrogen. Electric is not future"
1292,That's Sick Convo
1293,Duniya kuch bhi kahe par ashneer banda changa hai...
1294,Raghav made it ️️️
1295,"A very well-hosted interview. 

Ashneer is indeed very wise!"
1296,19:42 true words jyada refined tarike se nahi sochta
1297,Ashneer sir is cute 
1298,Next season big boss k liye he is finalized
1299,
1300,"Can someone please explain 27:00 onwards what he is trying to say????????
How is he earning 48% on giving out loans to the merchants when he just said give or take it is 12%"
1301,bhai knowledge to hai...Love you Ashneer bhai.. See you soon
1302,Love from Indore.. ️
1303,0:42 thats the sound of the lift jisme Raghav aaya tha
1304,THE MOST UNCONVENTIONAL INTERVIEW!!!
1305,"I think Ashneer said the wrong thing about stocking of essential items because in abroad Walmart, Target etc are far away from there houses around 6 to 8 km but in India in every society you will find one convenience store which will be around 100m away from the house so Indian think that why to stock just walk 100m and grab your necessary item ""WITHOUT PAYING EXTRA MONEY IN ONLINE PURCHASE""."
1306,"Copy of RAM GOPAL VERMA found… (Straight forward, logical, not getting carried away with emotions )"
1307,Great One
1308,Bhai businessman hai to ye banda baki sab ki to kismat hai matlab no bakwas purely buisness jahan emotions ki zarurat hai wahan logically solution Hina apna loss kiye....... Mza aa gya
1309,"Maza aa gaya, ashneer hero hi hai tu "
1310,Fastest 90 Min of my life. No Cap.
1311,"If that recording had not been viral, the sheer manipulativeness and obnoxiousness of this man would have never come to the Europe."
1312,The beautiful thing is he is absolutely truthful. He doesn't give in on any chance where he feels its irrelevant... like he says there is no advice... and that its not an act... its real..
1313,Too good.
1314,"Yaar mujhe toh Ashneer sir se milna hai abbb ,  koi aur celebrity crush nahi ,  inse baat krke sara concept clear ho sakta hai. i 'll work harder to pay for his time."
1315,I like Doglapan Of Ashneer.... 
1316,I guess there's a reason why Indians don't stock groceries much. I feel there are two mains reasons: Hot climate and Lack of space. Having said that historically most Indians have been stocking food grains rather than buying packaged atta for example. Regardless of that doing a grocery delivery business in India is extremely difficult
1317,"Best ever podcast
Love from Iitkgp"
1318,Why every entrepreneur wants to come from typical middle class family.
1319,"Shark Tank became popular only because of ashneer, aman & peyush. Others are replaceable."
1320,Raj you also did your role best with Mr  Ashneer
1321,"#beingstate ईमानदार आदमी, बिना चीनी के लेप के सच कहा। सत्य अमर है, त्रुटि नश्वर है। मैं वास्तव में उन लोगों को पसंद करता हूं जो हमेशा सच कहते हैं चाहे वह कहीं भी हो।"
1322,He must really hate Namita. So many veiled remarks at her throughout the video lmao
1323,"wow ,what""s a conversation"
1324,Shark tank is unique becoz of Asheer.
1325,A great conversation!!
1326,Maja aa gaya. Just like ki ashneer apne saath baitha hai
1327,Bhot sahi banda h 
1328,"The main question remained unanswered 
Is Ashnerr is extrovert or introvert ?.."
1329,Everything is Subjective ....
1330,"Such a great guy Ashneer. No nonsense guy.
The 'anchor' is so dumb but wants to sound smart. At one point he said 'framework' and didn't make any sense in the statement. He's bragging about speeches at the UN. Such a gimmicky guy."
1331,"Why does Raj have every question or his anecdote also in A, B, C, counting"
1332,Best show
1333,"Might not sub-consciously want to copy American Shark Tank, however, the producers have identified a Leary kinda personality in him and Namita gives a lot of Barbara vibes! Ashneer is a very interesting personality though, thanks for this! Enjoyed the conversation."
1334,Please correct the word ''Indian'' from the description written before IIM Ahmedabad because IIM itself signifies its prestigious name which is -- ''INDIAN INSTITUTE OF MANAGEMENT'''.
1335,Ashneers father is CA and mother is teacher  in Delhi  and he said that he comes from middle class family  how this is possible?
1336,No one is like Ashneer
1337,"The problem is not about saying No , it is to do with how he said NO in the show. But we dont know if it was the editing that made it look like he is arrogant and rude."
1338,But there is always a reality that ashneer won't reveal all his tricks and secrets
1339,"Ashneer after each such interview ""mere life ke 3 ghante jala diye"""
1340,He is a very logical person. Such a friend to get would be truth at face and you wouldn't fall in sweet words.
1341,You have to solve the problem u cant be the problem........is most imp for me
1342,हिंदी के पास अंग्रेजी से करोड़ों  गुना अधिक शब्द है 🇮🇳🇮🇳
1343,️
1344,"Love and respect for your plain honesty. There is a small ratio of people like Ashneer Grover in India.
It will take us some time to understand the importance of such type of great Founders."
1345,Raj looks like he is fanboying over Ashneer's words
1346,Gautam Gambhir of entrepreneurs
1347,Nice episode
1348,Anyday this podcast is better than any bollywood movie.
1349,"He has good business sense but no humility, isliye khud ki company ne usse nikal rakha hai. He needs to learn humility from Ratan Tata who is also a very good businessman. His life can be put out as a case study for future leaders on what to do and what not to do as a business leader."
1350,Raj bhai trying hard to speak Hindi 
1351,Make ashneer Finance minister of country. This guy has deep understanding of market.
1352,"If only Raj stops is over exaggerated adjectives such as ""Love it"" etc"
1353,"Ashneer is literally like Berlin in Money Heist , initially u don't like him but the more u watch him the more you like him ."
1354,Habbit forming stock religions IPO must be there
1355,57:17 sahi hai sir
1356,This man is a fraud now  always remember all follow the right path. Business is nothing more to earn survival and betterment of consumer life.
